street,depth
<unbenannt>,50–100 cm
An der Eselshaut,50–100 cm
Breitenweg,50–100 cm
Thüringer Straße,50–100 cm
Hermann-Löns-Straße,50–100 cm
Zum Ordenswald,50–100 cm
Am Dreschplatz,50–100 cm
Uhlandstraße,50–100 cm
Branchweilerhofstraße,30–50 cm
Nachtweide,30–50 cm
Flugplatzstraße,50–100 cm
In den Obergärten,50–100 cm
Schildweg,50–100 cm
Mußbacher Landstraße,30–50 cm
Martin-Luther-Straße,30–50 cm
Winzinger Straße,50–100 cm
Spitalbachstraße,30–50 cm
Marktstraße,50–100 cm
Soderweg,50–100 cm
Mühlgasse,50–100 cm
Friedhofstraße,50–100 cm
Brühlweg,30–50 cm
Wohlfeil,50–100 cm
Kirchstraße,30–50 cm
Schlossstraße,30–50 cm
Am Schloßgarten,30–50 cm
Hauptstraße,50–100 cm
Raiffeisenstraße,50–100 cm
Bordmühlweg,50–100 cm
Am Bahnhof,50–100 cm
Bahnhofstraße,30–50 cm
Weinstraße Nord,50–100 cm
Weinstraße,50–100 cm
Kreuzstraße,50–100 cm
Heerstraße,50–100 cm
Diedesfelder Weg,50–100 cm
Mittelhambacher Straße,50–100 cm
Horstweg,50–100 cm
Hindenburgstraße,30–50 cm
Moltkestraße,30–50 cm
Exterstraße,30–50 cm
Heinestraße,30–50 cm
Fröbelstraße,30–50 cm
Talstraße,30–50 cm
Kohlplatz,30–50 cm
Heidenbrunnenweg,30–50 cm
Nonnentalstraße,50–100 cm
Staatsstraße,50–100 cm
Heinrich-Heine-Straße,30–50 cm
Am Beutelstein,30–50 cm
Totenkopfstraße,50–100 cm
Jahnstraße,30–50 cm
Eichstraße,30–50 cm
Schloßstraße,50–100 cm
Bergsteinstraße,30–50 cm
Triftbrunnenweg,50–100 cm
In der Almel,30–50 cm
Römerweg,50–100 cm
Dr.-Nieder-Straße,30–50 cm
Ursulastraße,50–100 cm
Remigiusstraße,50–100 cm
Poststraße,30–50 cm
Frantzplatz,30–50 cm
Immengartenstraße,30–50 cm
Weinstraße Süd,50–100 cm
Weideweg,50–100 cm
Gartenstraße,50–100 cm
Am Heiligenberg,50–100 cm
Hartmannstraße,50–100 cm
Mühlstraße,50–100 cm
Riedweg,50–100 cm
Maikammerer Straße,30–50 cm
Herzogstraße,30–50 cm
Meerspinnstraße,50–100 cm
Heidenburgstraße,50–100 cm
Peter-Koch-Straße,50–100 cm
Von-Geissel-Straße,50–100 cm
Konrad-Adenauer-Straße,30–50 cm
Friedrichstraße,30–50 cm
Laustergasse,50–100 cm
Von-Hartmann-Straße,50–100 cm
Schütt,30–50 cm
Hohenzollernstraße,30–50 cm
Louis-Escande-Straße,50–100 cm
Im Altenschemel,30–50 cm
Schulstraße,50–100 cm
Herrenhofstraße,50–100 cm
Le Quartier-Hornbach,30–50 cm
Im Johanniskirchel,50–100 cm
Schillerstraße,50–100 cm
Karolinenstraße,30–50 cm
Lochackerweg,30–50 cm
Hambacher Straße,30–50 cm
Grundwiesenweg,50–100 cm
Mühlweg,50–100 cm
Dammstraße,50–100 cm
In der Feuer,30–50 cm
In der Setz,50–100 cm
Lettenweg,50–100 cm
Haardter Straße,30–50 cm
Strohmarkt,50–100 cm
Maximilianstraße,50–100 cm
Karlstraße,50–100 cm
Ludwigstraße,30–50 cm
Lindenstraße,30–50 cm
Speyerdorfer Straße,30–50 cm
Adolf-Kolping-Straße,30–50 cm
Chemnitzer Straße,30–50 cm
Dudostraße,30–50 cm
Klausengasse,50–100 cm
Bischofsgasse,50–100 cm
Pfarrgasse,50–100 cm
Hetzelstraße,30–50 cm
Stangenbrunnengasse,50–100 cm
Am Krautgarten,50–100 cm
Doktor-Sartorius-Straße,30–50 cm
Friedrich-Olbricht-Straße,30–50 cm
Dr.-Julius-Leber-Straße,30–50 cm
Fritz-Voigt-Straße,50–100 cm
Hermann-Wehrle-Straße,50–100 cm
Oswald-Wiersich-Straße,50–100 cm
Dr.-Semmelweis-Straße,50–100 cm
Grubenhof,50–100 cm
Gimmeldinger Straße,30–50 cm
Mandelring,50–100 cm
Wallgasse,50–100 cm
Wiesenstraße,30–50 cm
Alsterweiler Hauptstraße,50–100 cm
Turmstraße,50–100 cm
Im Dörnel,30–50 cm
Im Bannholz,50–100 cm
Einlaubstraße,50–100 cm
Hornbrücke,50–100 cm
Auf den Wergen,30–50 cm
Karl-Marx-Straße,50–100 cm
Färberstraße,50–100 cm
Ritterbüschel,30–50 cm
Lilienthalstraße,50–100 cm
Adamsweg,50–100 cm
Haßlocher Straße,50–100 cm
Langensteinstraße,50–100 cm
Ernst-Udet-Straße,50–100 cm
Am Nollen,30–50 cm
Am Kirschgarten,50–100 cm
Studerbildstraße,50–100 cm
Hohe-Loog-Straße,50–100 cm
Blöckenstraße,50–100 cm
Am Kriegergarten,30–50 cm
Probstgasse,30–50 cm
In der Leiter,30–50 cm
Grainstraße,30–50 cm
Auf dem Sand,30–50 cm
Goldener Winkel,30–50 cm
Lincolnstraße,50–100 cm
Schloßwiese,50–100 cm
Rieslingweg,30–50 cm
Appengasse,50–100 cm
Mittelgasse,30–50 cm
Nortzstraße,30–50 cm
Wallonenstraße,30–50 cm
Walter-Rathenau-Straße,50–100 cm
Klostergartenstraße,50–100 cm
Bergstraße,50–100 cm
Östliche Luhrbachstraße,50–100 cm
Westliche Luhrbachstraße,50–100 cm
Sommerbergstraße,30–50 cm
Deidesheimer Straße,30–50 cm
Hirschhornring,30–50 cm
Am Hitzpfad,30–50 cm
Neubergstraße,50–100 cm
Stabenbergstraße,50–100 cm
Erlenbergstraße,50–100 cm
Robert-Stolz-Straße,50–100 cm
Am Knappengraben,30–50 cm
Adalbert-Stifter-Straße,30–50 cm
Landwehrstraße,50–100 cm
Harthäuserweg,30–50 cm
Hagenstraße,50–100 cm
Grasgasse,50–100 cm
Am Stentenwehr,50–100 cm
Portugieserweg,50–100 cm
Silvanerweg,50–100 cm
Johann-Gottlieb-Fichte-Straße,30–50 cm
Albert-Schweitzer-Straße,50–100 cm
Freiherr-vom-Stein-Straße,30–50 cm
Rosenstraße,50–100 cm
Sundhofweg,30–50 cm
Fraenkelstraße,50–100 cm
Am Gemäuer,30–50 cm
Johanniterstraße,50–100 cm
Heidweg,50–100 cm
Ruländerweg,30–50 cm
Grimmstraße,50–100 cm
Fuchsfarmstraße,50–100 cm
Schießmauer,50–100 cm
Stadtmühlgasse,50–100 cm
Forstgasse,30–50 cm
Hoher Röderweg,50–100 cm
Alban-Haas-Straße,50–100 cm
Hohmauerweg,30–50 cm
Rittergartenstraße,50–100 cm
Manfred-Vetter-Straße,50–100 cm
Arndtstraße,30–50 cm
In den Kappesgärten,30–50 cm
Haagweg,30–50 cm
Im Schloßgarten,50–100 cm
Von-Dalberg-Straße,30–50 cm
Im Linsenbusch,50–100 cm
Bürgermeister-Oberhettinger-Straße,50–100 cm
Sauterstraße,50–100 cm
Schloßweg,30–50 cm
Wilhelm-Gisbertz-Straße,30–50 cm
Königsbergstraße,30–50 cm
Siedlerstraße,30–50 cm
Heinrichstraße,50–100 cm
Goethestraße,50–100 cm
Sulzwiesenweg,50–100 cm
Villenstraße,50–100 cm
Saarlandstraße,30–50 cm
Talgrafenstraße,50–100 cm
Quellenstraße,50–100 cm
Wittelsbacherstraße,30–50 cm
Rotkreuzstraße,30–50 cm
Fritzengasse,50–100 cm
An der Bleiche,50–100 cm
Burgweg,30–50 cm
Schlesierstraße,50–100 cm
Magdeburger Straße,50–100 cm
Kleingasse,50–100 cm
Seilerbahn,50–100 cm
Mandelgasse,30–50 cm
Dochnahlstraße,30–50 cm
Falkensteinstraße,50–100 cm
Gräfensteinstraße,50–100 cm
Würzmühle,50–100 cm
Wolfsburgstraße,50–100 cm
Maxburgstraße,50–100 cm
Kanzelkopfstraße,30–50 cm
Speyerer Straße,30–50 cm
Loblocherstraße,50–100 cm
Kurpfalzstraße,50–100 cm
Altbachstraße,50–100 cm
Grevenhausenstraße,50–100 cm
Im Jesuitengarten,30–50 cm
Hildenbrandseck,50–100 cm
Mozartstraße,30–50 cm
Enggasse,50–100 cm
Freiheitstraße,50–100 cm
Steinbachweg,50–100 cm
In der Achen,50–100 cm
Langenschemelstraße,50–100 cm
Perglasstraße,30–50 cm
Am Flurgraben,50–100 cm
Ketschauerhofstraße,50–100 cm
Im Meisental,50–100 cm
Ringstraße,50–100 cm
Erschigweg,30–50 cm
Winterbergstraße,50–100 cm
Kropsburgstraße,30–50 cm
Schöntalstraße,50–100 cm
Königsmühle,50–100 cm
Lambertskreuzstraße,50–100 cm
Steinbruchweg,30–50 cm
Eichkehle,30–50 cm
An der Althart,30–50 cm
Landauer Straße,50–100 cm
Volksbadstraße,50–100 cm
Maconring,30–50 cm
Andergasse,50–100 cm
Käsgasse,50–100 cm
Hans-Geiger-Straße,30–50 cm
Weinbergstraße,50–100 cm
Waldstraße,30–50 cm
Lindenhof,50–100 cm
Haberackerstraße,50–100 cm
Am Kreuzberg,30–50 cm
Kredenburgstraße,50–100 cm
Theodor-Heuss-Straße,50–100 cm
Königsmühlstraße,30–50 cm
Maria-Merian-Straße,50–100 cm
Nachtigallstraße,30–50 cm
Humboldtstraße,30–50 cm
Am Waldrand,30–50 cm
Julius-Wilde-Straße,30–50 cm
Vogelsang,50–100 cm
Kaiserstuhl,50–100 cm
Madenburgstraße,50–100 cm
Birkenweg,50–100 cm
Haagwiesenweg,50–100 cm
Erlenweg,30–50 cm
Akazienweg,50–100 cm
Industriestraße,30–50 cm
Am Falltor,50–100 cm
Kreuzbergstraße,50–100 cm
Mandelbergstraße,30–50 cm
Kalkbergstraße,50–100 cm
Baumgartenstraße,50–100 cm
Schliedererstraße,50–100 cm
Bauerndoktor-Gros-Straße,50–100 cm
Im Ringel,50–100 cm
Europastraße,50–100 cm
Lachener Straße,50–100 cm
Im Drötschgarten,30–50 cm
Von-Dalheim-Straße,50–100 cm
Zum Klausental,50–100 cm
Kurt-Schumacher-Straße,50–100 cm
Bismarckstraße,50–100 cm
Im Döppelter,50–100 cm
Im Kautz,30–50 cm
Geschwister-Scholl-Straße,30–50 cm
Weinbachstraße,50–100 cm
Schwimmbadstraße,50–100 cm
Kardinal-Wendel-Straße,50–100 cm
Prälat-Hartz-Straße,50–100 cm
Im Ringgarten,50–100 cm
Franz-Kugler-Straße,30–50 cm
Im Diepelsatz,50–100 cm
Kapellenstraße,50–100 cm
Erika-Köth-Straße,50–100 cm
Im Falkenhorst,30–50 cm
Theodor-Haubach-Straße,30–50 cm
Sankt-Martiner-Straße,50–100 cm
Neugasse,50–100 cm
Gerichtstraße,50–100 cm
Brunnenstraße,50–100 cm
Am Hüttbaum,50–100 cm
Merowingerstraße,30–50 cm
Breslauer Straße,50–100 cm
Branchweilerhof,30–50 cm
Sandfeldweg,30–50 cm
Keltenstraße,30–50 cm
Wilhelm-Leuschner Straße,30–50 cm
Dr.- Goerdeler-Straße,30–50 cm
Stauffenbergstraße,30–50 cm
Heinrich-Strieffler-Straße,50–100 cm
Hanns-Fay-Straße,30–50 cm
Otto-Dill-Straße,30–50 cm
Schlachthofstraße,30–50 cm
Von-der-Tann-Straße,50–100 cm
Conrad-Freytag-Straße,30–50 cm
Spitalgasse,50–100 cm
Eckstraße,50–100 cm
Im Kirchfeld,30–50 cm
Massastraße,50–100 cm
Weiherstraße,50–100 cm
Rathausstraße,50–100 cm
Oberer Schnetzweg,50–100 cm
Stiftstraße,30–50 cm
Diedesfelder Straße,30–50 cm
Im Kirchenstück,50–100 cm
Dieterwiesenstraße,50–100 cm
Blumenstraße,50–100 cm
Am Leimenweg,50–100 cm
In den Nonnenwiesen,30–50 cm
Hainstraße,50–100 cm
Am Bürgergarten,30–50 cm
Gienanthstraße,50–100 cm
Rohgasse,50–100 cm
Hahnenweg,50–100 cm
Am Altenweg,50–100 cm
Am Weißen Haus,50–100 cm
