street,depth
Kirchgasse,30–50 cm
Weinstraße,30–50 cm
<unbenannt>,50–100 cm
An der Eselshaut,50–100 cm
Breitenweg,50–100 cm
Hermann-Löns-Straße,30–50 cm
Zum Ordenswald,50–100 cm
Branchweilerhofstraße,50–100 cm
Nachtweide,30–50 cm
Mußbacher Landstraße,30–50 cm
Winzinger Straße,30–50 cm
Spitalbachstraße,50–100 cm
Marktstraße,50–100 cm
Wohlfeil,50–100 cm
Friedhofstraße,30–50 cm
Brühlweg,30–50 cm
Hauptstraße,30–50 cm
Raiffeisenstraße,50–100 cm
Bordmühlweg,30–50 cm
Am Bahnhof,30–50 cm
Bahnhofstraße,30–50 cm
Weinstraße Nord,50–100 cm
Heerstraße,50–100 cm
Diedesfelder Weg,30–50 cm
Mittelhambacher Straße,50–100 cm
Horstweg,30–50 cm
Kirchstraße,50–100 cm
Exterstraße,30–50 cm
Mittelgasse,50–100 cm
Fröbelstraße,30–50 cm
Talstraße,30–50 cm
Kohlplatz,50–100 cm
Heidenbrunnenweg,50–100 cm
Nonnentalstraße,30–50 cm
Staatsstraße,50–100 cm
Totenkopfstraße,50–100 cm
Wooggasse,50–100 cm
Edenkobener Straße,50–100 cm
Eichstraße,50–100 cm
Schloßstraße,50–100 cm
Triftbrunnenweg,50–100 cm
In der Almel,30–50 cm
Römerweg,30–50 cm
Remigiusstraße,50–100 cm
Ursulastraße,30–50 cm
Poststraße,30–50 cm
Weinstraße Süd,30–50 cm
Weideweg,30–50 cm
Gartenstraße,50–100 cm
Hartmannstraße,50–100 cm
Mühlstraße,50–100 cm
Riedweg,50–100 cm
Herzogstraße,30–50 cm
Meerspinnstraße,50–100 cm
Peter-Koch-Straße,50–100 cm
Friedrichstraße,30–50 cm
Laustergasse,50–100 cm
Von-Hartmann-Straße,30–50 cm
Hohenzollernstraße,30–50 cm
Im Altenschemel,30–50 cm
Schulstraße,30–50 cm
Herrenhofstraße,30–50 cm
Louis-Escande-Straße,30–50 cm
Im Johanniskirchel,50–100 cm
Immengartenstraße,30–50 cm
Schillerstraße,50–100 cm
Karolinenstraße,50–100 cm
Grundwiesenweg,30–50 cm
Mühlweg,30–50 cm
Lettenweg,50–100 cm
Strohmarkt,30–50 cm
Maximilianstraße,50–100 cm
Karlstraße,50–100 cm
Ludwigstraße,50–100 cm
Dudostraße,30–50 cm
Klausengasse,30–50 cm
Bischofsgasse,30–50 cm
Pfarrgasse,50–100 cm
Hetzelstraße,30–50 cm
Chemnitzer Straße,30–50 cm
Oswald-Wiersich-Straße,30–50 cm
Grubenhof,50–100 cm
Gimmeldinger Straße,30–50 cm
Mandelring,50–100 cm
Wallgasse,50–100 cm
Alsterweiler Hauptstraße,50–100 cm
Kellereistraße,50–100 cm
Emserstraße,50–100 cm
Einlaubstraße,50–100 cm
Maikammerer Straße,50–100 cm
Hornbrücke,50–100 cm
Auf den Wergen,30–50 cm
Karl-Marx-Straße,30–50 cm
Färberstraße,50–100 cm
Lilienthalstraße,30–50 cm
Adamsweg,30–50 cm
Flugplatzstraße,50–100 cm
Am Kirschgarten,30–50 cm
Am Kriegergarten,30–50 cm
Probstgasse,50–100 cm
Lincolnstraße,30–50 cm
Rieslingweg,50–100 cm
Finkenweg,50–100 cm
Wallonenstraße,50–100 cm
Klostergartenstraße,30–50 cm
Bergstraße,50–100 cm
Westliche Luhrbachstraße,30–50 cm
Östliche Luhrbachstraße,50–100 cm
Deidesheimer Straße,50–100 cm
Hirschhornring,50–100 cm
Stabenbergstraße,50–100 cm
Erlenbergstraße,30–50 cm
Am Knappengraben,30–50 cm
Robert-Stolz-Straße,50–100 cm
Adalbert-Stifter-Straße,50–100 cm
Harthäuserweg,30–50 cm
Grasgasse,30–50 cm
Doktor-Sartorius-Straße,50–100 cm
Portugieserweg,50–100 cm
Silvanerweg,50–100 cm
Johann-Gottlieb-Fichte-Straße,30–50 cm
Rosenstraße,30–50 cm
Am Stentenwehr,50–100 cm
Fraenkelstraße,50–100 cm
Johanniterstraße,50–100 cm
Albert-Schweitzer-Straße,30–50 cm
Freiherr-vom-Stein-Straße,50–100 cm
Heidweg,30–50 cm
Uhlandstraße,30–50 cm
Am Krautgarten,30–50 cm
Alban-Haas-Straße,50–100 cm
Wiesenstraße,50–100 cm
Rittergartenstraße,50–100 cm
Manfred-Vetter-Straße,30–50 cm
Im Schloßgarten,30–50 cm
Im Linsenbusch,30–50 cm
Bürgermeister-Oberhettinger-Straße,30–50 cm
Sauterstraße,30–50 cm
Königsbergstraße,30–50 cm
Siedlerstraße,50–100 cm
Goethestraße,50–100 cm
Theodor-Heuss-Straße,50–100 cm
Heinrichstraße,50–100 cm
Villenstraße,30–50 cm
Saarlandstraße,30–50 cm
Talgrafenstraße,30–50 cm
Quellenstraße,50–100 cm
Fritzengasse,50–100 cm
An der Bleiche,50–100 cm
Schießmauer,30–50 cm
Schlesierstraße,30–50 cm
Magdeburger Straße,30–50 cm
Kleingasse,30–50 cm
